assignment_id,course_id,course_code,title,assignment_type,description,max_marks,weight,due_date,submission_type,allow_late,late_penalty
COMP101_Semester_1_2024_A1,COMP101_Semester_1_2024,COMP101,Assignment 1: Lab Exercise,Programming Assignment,Complete the group project as per course requirements.,100,20,2024-04-30 00:00:00,Online text,True,20
COMP101_Semester_1_2024_A2,COMP101_Semester_1_2024,COMP101,Assignment 2: Case Study,Presentation,Complete the tutorial exercise as per course requirements.,20,20,2024-03-23 00:00:00,Online text,True,20
COMP101_Semester_1_2024_A3,COMP101_Semester_1_2024,COMP101,Assignment 3: Research Paper,Report,Complete the case study as per course requirements.,25,15,2024-06-08 00:00:00,Both,True,5
COMP101_Semester_1_2024_A4,COMP101_Semester_1_2024,COMP101,Assignment 4: Tutorial Exercise,Programming Assignment,Complete the case study as per course requirements.,40,25,2024-04-26 00:00:00,Both,True,5
COMP101_Semester_1_2024_A5,COMP101_Semester_1_2024,COMP101,Assignment 5: Research Paper,Case Study,Complete the essay as per course requirements.,20,30,2024-04-25 00:00:00,Both,False,10
COMP101_Semester_2_2024_A1,COMP101_Semester_2_2024,COMP101,Assignment 1: Essay,Programming Assignment,Complete the project as per course requirements.,40,25,2024-08-29 00:00:00,Online text,True,20
COMP101_Semester_2_2024_A2,COMP101_Semester_2_2024,COMP101,Assignment 2: Programming Assignment,Research Paper,Complete the lab exercise as per course requirements.,30,25,2024-11-05 00:00:00,Online text,True,0
COMP101_Semester_2_2024_A3,COMP101_Semester_2_2024,COMP101,Assignment 3: Programming Assignment,Research Paper,Complete the group project as per course requirements.,25,10,2024-08-08 00:00:00,Both,False,0
COMP101_Semester_2_2024_A4,COMP101_Semester_2_2024,COMP101,Assignment 4: Programming Assignment,Tutorial Exercise,Complete the case study as per course requirements.,40,25,2024-11-01 00:00:00,Both,False,0
COMP101_Semester_2_2024_A5,COMP101_Semester_2_2024,COMP101,Assignment 5: Programming Assignment,Presentation,Complete the programming assignment as per course requirements.,100,30,2024-08-14 00:00:00,File upload,False,5
COMP101_Semester_2_2024_A6,COMP101_Semester_2_2024,COMP101,Assignment 6: Group Project,Group Project,Complete the group project as per course requirements.,40,10,2024-09-17 00:00:00,Both,True,10
COMP101_Summer_2024/25_A1,COMP101_Summer_2024/25,COMP101,Assignment 1: Tutorial Exercise,Case Study,Complete the essay as per course requirements.,50,25,2025-01-08 00:00:00,Online text,True,0
COMP101_Summer_2024/25_A2,COMP101_Summer_2024/25,COMP101,Assignment 2: Case Study,Programming Assignment,Complete the group project as per course requirements.,30,10,2025-01-11 00:00:00,File upload,True,15
COMP101_Summer_2024/25_A3,COMP101_Summer_2024/25,COMP101,Assignment 3: Lab Exercise,Essay,Complete the project as per course requirements.,30,10,2025-01-06 00:00:00,Both,False,20
COMP201_Semester_1_2024_A1,COMP201_Semester_1_2024,COMP201,Assignment 1: Research Paper,Presentation,Complete the group project as per course requirements.,30,30,2024-05-23 00:00:00,Both,True,5
COMP201_Semester_1_2024_A2,COMP201_Semester_1_2024,COMP201,Assignment 2: Essay,Project,Complete the case study as per course requirements.,30,15,2024-04-10 00:00:00,File upload,True,15
COMP201_Semester_1_2024_A3,COMP201_Semester_1_2024,COMP201,Assignment 3: Tutorial Exercise,Lab Exercise,Complete the programming assignment as per course requirements.,50,20,2024-03-27 00:00:00,Online text,False,10
COMP201_Semester_1_2024_A4,COMP201_Semester_1_2024,COMP201,Assignment 4: Research Paper,Programming Assignment,Complete the report as per course requirements.,100,25,2024-05-01 00:00:00,Both,True,5
COMP201_Semester_2_2024_A1,COMP201_Semester_2_2024,COMP201,Assignment 1: Project,Presentation,Complete the tutorial exercise as per course requirements.,100,30,2024-10-18 00:00:00,Both,True,0
COMP201_Semester_2_2024_A2,COMP201_Semester_2_2024,COMP201,Assignment 2: Presentation,Lab Exercise,Complete the lab exercise as per course requirements.,20,30,2024-08-17 00:00:00,File upload,True,0
COMP201_Semester_2_2024_A3,COMP201_Semester_2_2024,COMP201,Assignment 3: Programming Assignment,Group Project,Complete the lab exercise as per course requirements.,20,20,2024-10-05 00:00:00,Both,True,0
COMP201_Semester_2_2024_A4,COMP201_Semester_2_2024,COMP201,Assignment 4: Report,Case Study,Complete the project as per course requirements.,30,10,2024-09-09 00:00:00,File upload,False,10
COMP201_Semester_2_2024_A5,COMP201_Semester_2_2024,COMP201,Assignment 5: Programming Assignment,Programming Assignment,Complete the case study as per course requirements.,50,20,2024-09-15 00:00:00,Both,False,0
COMP201_Summer_2024/25_A1,COMP201_Summer_2024/25,COMP201,Assignment 1: Group Project,Report,Complete the tutorial exercise as per course requirements.,20,10,2025-01-21 00:00:00,File upload,False,20
COMP201_Summer_2024/25_A2,COMP201_Summer_2024/25,COMP201,Assignment 2: Presentation,Group Project,Complete the group project as per course requirements.,50,25,2025-01-08 00:00:00,Online text,True,0
COMP201_Summer_2024/25_A3,COMP201_Summer_2024/25,COMP201,Assignment 3: Case Study,Case Study,Complete the case study as per course requirements.,40,30,2025-02-19 00:00:00,Both,False,0
COMP201_Summer_2024/25_A4,COMP201_Summer_2024/25,COMP201,Assignment 4: Project,Tutorial Exercise,Complete the lab exercise as per course requirements.,100,25,2025-02-01 00:00:00,File upload,False,20
COMP201_Summer_2024/25_A5,COMP201_Summer_2024/25,COMP201,Assignment 5: Report,Report,Complete the lab exercise as per course requirements.,50,15,2025-02-18 00:00:00,Online text,True,20
COMP301_Semester_1_2024_A1,COMP301_Semester_1_2024,COMP301,Assignment 1: Programming Assignment,Programming Assignment,Complete the project as per course requirements.,20,15,2024-03-22 00:00:00,Both,True,0
COMP301_Semester_1_2024_A2,COMP301_Semester_1_2024,COMP301,Assignment 2: Group Project,Research Paper,Complete the essay as per course requirements.,40,30,2024-04-16 00:00:00,Both,True,0
COMP301_Semester_1_2024_A3,COMP301_Semester_1_2024,COMP301,Assignment 3: Group Project,Programming Assignment,Complete the lab exercise as per course requirements.,20,30,2024-05-15 00:00:00,File upload,True,15
COMP301_Semester_1_2024_A4,COMP301_Semester_1_2024,COMP301,Assignment 4: Group Project,Tutorial Exercise,Complete the essay as per course requirements.,50,25,2024-04-11 00:00:00,File upload,True,0
COMP301_Semester_1_2024_A5,COMP301_Semester_1_2024,COMP301,Assignment 5: Case Study,Group Project,Complete the presentation as per course requirements.,20,25,2024-04-26 00:00:00,Online text,False,0
COMP301_Semester_2_2024_A1,COMP301_Semester_2_2024,COMP301,Assignment 1: Project,Group Project,Complete the programming assignment as per course requirements.,30,20,2024-09-10 00:00:00,Online text,False,0
COMP301_Semester_2_2024_A2,COMP301_Semester_2_2024,COMP301,Assignment 2: Tutorial Exercise,Lab Exercise,Complete the project as per course requirements.,30,30,2024-07-29 00:00:00,File upload,False,20
COMP301_Semester_2_2024_A3,COMP301_Semester_2_2024,COMP301,Assignment 3: Presentation,Essay,Complete the tutorial exercise as per course requirements.,40,20,2024-08-05 00:00:00,Online text,False,0
COMP301_Summer_2024/25_A1,COMP301_Summer_2024/25,COMP301,Assignment 1: Lab Exercise,Presentation,Complete the essay as per course requirements.,20,25,2025-01-08 00:00:00,Online text,True,0
COMP301_Summer_2024/25_A2,COMP301_Summer_2024/25,COMP301,Assignment 2: Case Study,Lab Exercise,Complete the programming assignment as per course requirements.,40,10,2025-02-19 00:00:00,File upload,False,0
COMP301_Summer_2024/25_A3,COMP301_Summer_2024/25,COMP301,Assignment 3: Presentation,Report,Complete the presentation as per course requirements.,40,15,2025-02-04 00:00:00,Both,False,0
COMP301_Summer_2024/25_A4,COMP301_Summer_2024/25,COMP301,Assignment 4: Research Paper,Case Study,Complete the case study as per course requirements.,30,25,2025-02-10 00:00:00,File upload,False,10
COMP301_Summer_2024/25_A5,COMP301_Summer_2024/25,COMP301,Assignment 5: Project,Report,Complete the essay as per course requirements.,25,25,2024-12-30 00:00:00,Online text,False,10
COMP401_Semester_1_2024_A1,COMP401_Semester_1_2024,COMP401,Assignment 1: Report,Programming Assignment,Complete the lab exercise as per course requirements.,40,30,2024-05-11 00:00:00,Online text,True,0
COMP401_Semester_1_2024_A2,COMP401_Semester_1_2024,COMP401,Assignment 2: Group Project,Lab Exercise,Complete the case study as per course requirements.,20,10,2024-05-01 00:00:00,File upload,True,0
COMP401_Semester_1_2024_A3,COMP401_Semester_1_2024,COMP401,Assignment 3: Essay,Project,Complete the essay as per course requirements.,100,20,2024-05-14 00:00:00,Online text,True,0
COMP401_Semester_1_2024_A4,COMP401_Semester_1_2024,COMP401,Assignment 4: Report,Research Paper,Complete the programming assignment as per course requirements.,40,15,2024-04-17 00:00:00,Both,True,10
COMP401_Semester_2_2024_A1,COMP401_Semester_2_2024,COMP401,Assignment 1: Programming Assignment,Report,Complete the project as per course requirements.,100,25,2024-09-02 00:00:00,File upload,False,5
COMP401_Semester_2_2024_A2,COMP401_Semester_2_2024,COMP401,Assignment 2: Group Project,Tutorial Exercise,Complete the case study as per course requirements.,25,30,2024-10-26 00:00:00,Both,True,0
COMP401_Semester_2_2024_A3,COMP401_Semester_2_2024,COMP401,Assignment 3: Lab Exercise,Essay,Complete the report as per course requirements.,25,15,2024-08-14 00:00:00,Online text,True,5
COMP401_Semester_2_2024_A4,COMP401_Semester_2_2024,COMP401,Assignment 4: Lab Exercise,Lab Exercise,Complete the group project as per course requirements.,30,15,2024-08-04 00:00:00,File upload,False,0
COMP401_Summer_2024/25_A1,COMP401_Summer_2024/25,COMP401,Assignment 1: Lab Exercise,Essay,Complete the report as per course requirements.,20,20,2025-02-19 00:00:00,Online text,False,20
COMP401_Summer_2024/25_A2,COMP401_Summer_2024/25,COMP401,Assignment 2: Presentation,Essay,Complete the case study as per course requirements.,20,10,2025-01-16 00:00:00,File upload,False,0
COMP401_Summer_2024/25_A3,COMP401_Summer_2024/25,COMP401,Assignment 3: Report,Tutorial Exercise,Complete the programming assignment as per course requirements.,40,15,2025-02-14 00:00:00,Online text,False,0
WEB201_Semester_1_2024_A1,WEB201_Semester_1_2024,WEB201,Assignment 1: Programming Assignment,Essay,Complete the group project as per course requirements.,25,20,2024-03-25 00:00:00,Online text,False,15
WEB201_Semester_1_2024_A2,WEB201_Semester_1_2024,WEB201,Assignment 2: Report,Project,Complete the tutorial exercise as per course requirements.,40,10,2024-04-10 00:00:00,File upload,True,5
WEB201_Semester_1_2024_A3,WEB201_Semester_1_2024,WEB201,Assignment 3: Tutorial Exercise,Project,Complete the project as per course requirements.,100,25,2024-03-16 00:00:00,File upload,True,15
WEB201_Semester_1_2024_A4,WEB201_Semester_1_2024,WEB201,Assignment 4: Research Paper,Project,Complete the group project as per course requirements.,100,15,2024-04-18 00:00:00,File upload,True,0
WEB201_Semester_1_2024_A5,WEB201_Semester_1_2024,WEB201,Assignment 5: Report,Group Project,Complete the presentation as per course requirements.,30,25,2024-05-20 00:00:00,Both,True,5
WEB201_Semester_2_2024_A1,WEB201_Semester_2_2024,WEB201,Assignment 1: Group Project,Group Project,Complete the essay as per course requirements.,25,30,2024-09-20 00:00:00,Online text,True,0
WEB201_Semester_2_2024_A2,WEB201_Semester_2_2024,WEB201,Assignment 2: Essay,Project,Complete the lab exercise as per course requirements.,40,30,2024-10-09 00:00:00,Both,True,0
WEB201_Semester_2_2024_A3,WEB201_Semester_2_2024,WEB201,Assignment 3: Group Project,Lab Exercise,Complete the group project as per course requirements.,40,25,2024-11-02 00:00:00,Both,False,0
WEB201_Semester_2_2024_A4,WEB201_Semester_2_2024,WEB201,Assignment 4: Case Study,Tutorial Exercise,Complete the project as per course requirements.,50,10,2024-07-29 00:00:00,Both,False,15
WEB201_Semester_2_2024_A5,WEB201_Semester_2_2024,WEB201,Assignment 5: Project,Report,Complete the report as per course requirements.,50,10,2024-09-05 00:00:00,File upload,True,0
WEB201_Semester_2_2024_A6,WEB201_Semester_2_2024,WEB201,Assignment 6: Report,Essay,Complete the case study as per course requirements.,30,15,2024-08-28 00:00:00,Online text,True,10
WEB201_Summer_2024/25_A1,WEB201_Summer_2024/25,WEB201,Assignment 1: Essay,Presentation,Complete the tutorial exercise as per course requirements.,30,20,2024-12-30 00:00:00,File upload,False,20
WEB201_Summer_2024/25_A2,WEB201_Summer_2024/25,WEB201,Assignment 2: Presentation,Essay,Complete the essay as per course requirements.,30,15,2025-01-22 00:00:00,Both,False,0
WEB201_Summer_2024/25_A3,WEB201_Summer_2024/25,WEB201,Assignment 3: Group Project,Tutorial Exercise,Complete the programming assignment as per course requirements.,100,25,2024-12-18 00:00:00,Both,False,10
WEB201_Summer_2024/25_A4,WEB201_Summer_2024/25,WEB201,Assignment 4: Project,Presentation,Complete the report as per course requirements.,25,30,2025-02-10 00:00:00,Both,False,0
NET301_Semester_1_2024_A1,NET301_Semester_1_2024,NET301,Assignment 1: Lab Exercise,Presentation,Complete the case study as per course requirements.,40,10,2024-06-12 00:00:00,Online text,True,0
NET301_Semester_1_2024_A2,NET301_Semester_1_2024,NET301,Assignment 2: Project,Tutorial Exercise,Complete the research paper as per course requirements.,100,15,2024-04-02 00:00:00,Both,False,0
NET301_Semester_1_2024_A3,NET301_Semester_1_2024,NET301,Assignment 3: Case Study,Lab Exercise,Complete the tutorial exercise as per course requirements.,25,10,2024-03-31 00:00:00,File upload,True,0
NET301_Semester_1_2024_A4,NET301_Semester_1_2024,NET301,Assignment 4: Lab Exercise,Programming Assignment,Complete the group project as per course requirements.,25,10,2024-05-08 00:00:00,Both,True,0
NET301_Semester_2_2024_A1,NET301_Semester_2_2024,NET301,Assignment 1: Essay,Essay,Complete the case study as per course requirements.,25,10,2024-08-12 00:00:00,Online text,True,5
NET301_Semester_2_2024_A2,NET301_Semester_2_2024,NET301,Assignment 2: Essay,Programming Assignment,Complete the group project as per course requirements.,100,20,2024-11-07 00:00:00,Both,True,0
NET301_Semester_2_2024_A3,NET301_Semester_2_2024,NET301,Assignment 3: Tutorial Exercise,Research Paper,Complete the case study as per course requirements.,30,20,2024-09-28 00:00:00,Online text,True,0
NET301_Summer_2024/25_A1,NET301_Summer_2024/25,NET301,Assignment 1: Essay,Essay,Complete the programming assignment as per course requirements.,50,20,2024-12-31 00:00:00,File upload,False,0
NET301_Summer_2024/25_A2,NET301_Summer_2024/25,NET301,Assignment 2: Essay,Project,Complete the lab exercise as per course requirements.,40,15,2025-01-13 00:00:00,Online text,False,0
NET301_Summer_2024/25_A3,NET301_Summer_2024/25,NET301,Assignment 3: Programming Assignment,Research Paper,Complete the case study as per course requirements.,20,15,2025-02-03 00:00:00,File upload,False,0
NET301_Summer_2024/25_A4,NET301_Summer_2024/25,NET301,Assignment 4: Programming Assignment,Presentation,Complete the programming assignment as per course requirements.,20,30,2025-01-27 00:00:00,File upload,True,0
NET301_Summer_2024/25_A5,NET301_Summer_2024/25,NET301,Assignment 5: Tutorial Exercise,Case Study,Complete the lab exercise as per course requirements.,25,20,2025-01-27 00:00:00,Both,False,0
SEC401_Semester_1_2024_A1,SEC401_Semester_1_2024,SEC401,Assignment 1: Research Paper,Presentation,Complete the report as per course requirements.,100,10,2024-04-14 00:00:00,File upload,True,10
SEC401_Semester_1_2024_A2,SEC401_Semester_1_2024,SEC401,Assignment 2: Case Study,Lab Exercise,Complete the research paper as per course requirements.,100,25,2024-04-20 00:00:00,File upload,True,15
SEC401_Semester_1_2024_A3,SEC401_Semester_1_2024,SEC401,Assignment 3: Programming Assignment,Presentation,Complete the case study as per course requirements.,25,25,2024-03-29 00:00:00,Online text,False,0
SEC401_Semester_2_2024_A1,SEC401_Semester_2_2024,SEC401,Assignment 1: Lab Exercise,Tutorial Exercise,Complete the presentation as per course requirements.,25,15,2024-10-25 00:00:00,Online text,False,20
SEC401_Semester_2_2024_A2,SEC401_Semester_2_2024,SEC401,Assignment 2: Group Project,Project,Complete the lab exercise as per course requirements.,20,30,2024-10-05 00:00:00,Both,False,10
SEC401_Semester_2_2024_A3,SEC401_Semester_2_2024,SEC401,Assignment 3: Programming Assignment,Project,Complete the presentation as per course requirements.,20,15,2024-10-26 00:00:00,File upload,False,10
SEC401_Semester_2_2024_A4,SEC401_Semester_2_2024,SEC401,Assignment 4: Essay,Presentation,Complete the presentation as per course requirements.,25,20,2024-08-12 00:00:00,Online text,True,20
SEC401_Semester_2_2024_A5,SEC401_Semester_2_2024,SEC401,Assignment 5: Project,Project,Complete the essay as per course requirements.,100,15,2024-08-29 00:00:00,File upload,True,0
SEC401_Semester_2_2024_A6,SEC401_Semester_2_2024,SEC401,Assignment 6: Lab Exercise,Presentation,Complete the essay as per course requirements.,100,10,2024-08-01 00:00:00,Both,True,0
SEC401_Summer_2024/25_A1,SEC401_Summer_2024/25,SEC401,Assignment 1: Case Study,Presentation,Complete the case study as per course requirements.,20,15,2024-12-19 00:00:00,File upload,True,20
SEC401_Summer_2024/25_A2,SEC401_Summer_2024/25,SEC401,Assignment 2: Case Study,Research Paper,Complete the case study as per course requirements.,100,30,2025-01-04 00:00:00,Both,False,0
SEC401_Summer_2024/25_A3,SEC401_Summer_2024/25,SEC401,Assignment 3: Research Paper,Essay,Complete the report as per course requirements.,20,15,2025-01-28 00:00:00,File upload,True,10
SEC401_Summer_2024/25_A4,SEC401_Summer_2024/25,SEC401,Assignment 4: Case Study,Essay,Complete the lab exercise as per course requirements.,40,25,2025-02-18 00:00:00,Both,False,15
DATA301_Semester_1_2024_A1,DATA301_Semester_1_2024,DATA301,Assignment 1: Case Study,Report,Complete the programming assignment as per course requirements.,50,25,2024-05-04 00:00:00,File upload,True,0
DATA301_Semester_1_2024_A2,DATA301_Semester_1_2024,DATA301,Assignment 2: Project,Lab Exercise,Complete the case study as per course requirements.,100,30,2024-03-18 00:00:00,Both,True,20
DATA301_Semester_1_2024_A3,DATA301_Semester_1_2024,DATA301,Assignment 3: Presentation,Lab Exercise,Complete the lab exercise as per course requirements.,25,10,2024-05-11 00:00:00,Online text,False,0
DATA301_Semester_1_2024_A4,DATA301_Semester_1_2024,DATA301,Assignment 4: Programming Assignment,Programming Assignment,Complete the presentation as per course requirements.,50,20,2024-03-24 00:00:00,File upload,True,0
DATA301_Semester_2_2024_A1,DATA301_Semester_2_2024,DATA301,Assignment 1: Project,Tutorial Exercise,Complete the essay as per course requirements.,30,15,2024-08-06 00:00:00,Both,True,5
DATA301_Semester_2_2024_A2,DATA301_Semester_2_2024,DATA301,Assignment 2: Report,Programming Assignment,Complete the tutorial exercise as per course requirements.,50,10,2024-08-28 00:00:00,Both,False,0
DATA301_Semester_2_2024_A3,DATA301_Semester_2_2024,DATA301,Assignment 3: Programming Assignment,Report,Complete the essay as per course requirements.,30,20,2024-09-07 00:00:00,Online text,True,0
DATA301_Summer_2024/25_A1,DATA301_Summer_2024/25,DATA301,Assignment 1: Case Study,Programming Assignment,Complete the presentation as per course requirements.,40,30,2025-01-30 00:00:00,File upload,True,0
DATA301_Summer_2024/25_A2,DATA301_Summer_2024/25,DATA301,Assignment 2: Research Paper,Tutorial Exercise,Complete the essay as per course requirements.,30,15,2025-02-02 00:00:00,File upload,False,0
DATA301_Summer_2024/25_A3,DATA301_Summer_2024/25,DATA301,Assignment 3: Project,Project,Complete the case study as per course requirements.,100,15,2024-12-27 00:00:00,Both,False,0
DATA301_Summer_2024/25_A4,DATA301_Summer_2024/25,DATA301,Assignment 4: Presentation,Report,Complete the presentation as per course requirements.,50,25,2025-01-01 00:00:00,File upload,False,0
DATA301_Summer_2024/25_A5,DATA301_Summer_2024/25,DATA301,Assignment 5: Case Study,Tutorial Exercise,Complete the research paper as per course requirements.,20,10,2024-12-25 00:00:00,File upload,False,5
DATA301_Summer_2024/25_A6,DATA301_Summer_2024/25,DATA301,Assignment 6: Programming Assignment,Research Paper,Complete the presentation as per course requirements.,25,20,2025-02-17 00:00:00,File upload,True,0
SOFT301_Semester_1_2024_A1,SOFT301_Semester_1_2024,SOFT301,Assignment 1: Programming Assignment,Programming Assignment,Complete the case study as per course requirements.,100,25,2024-04-25 00:00:00,Online text,False,20
SOFT301_Semester_1_2024_A2,SOFT301_Semester_1_2024,SOFT301,Assignment 2: Case Study,Programming Assignment,Complete the tutorial exercise as per course requirements.,40,10,2024-06-02 00:00:00,Online text,False,0
SOFT301_Semester_1_2024_A3,SOFT301_Semester_1_2024,SOFT301,Assignment 3: Case Study,Research Paper,Complete the presentation as per course requirements.,50,30,2024-05-29 00:00:00,Online text,False,0
SOFT301_Semester_1_2024_A4,SOFT301_Semester_1_2024,SOFT301,Assignment 4: Group Project,Research Paper,Complete the report as per course requirements.,100,10,2024-05-02 00:00:00,Both,True,10
SOFT301_Semester_1_2024_A5,SOFT301_Semester_1_2024,SOFT301,Assignment 5: Group Project,Essay,Complete the case study as per course requirements.,20,20,2024-06-08 00:00:00,Online text,True,5
SOFT301_Semester_2_2024_A1,SOFT301_Semester_2_2024,SOFT301,Assignment 1: Research Paper,Programming Assignment,Complete the presentation as per course requirements.,40,25,2024-09-16 00:00:00,Both,False,0
SOFT301_Semester_2_2024_A2,SOFT301_Semester_2_2024,SOFT301,Assignment 2: Programming Assignment,Lab Exercise,Complete the lab exercise as per course requirements.,25,25,2024-08-21 00:00:00,Online text,True,0
SOFT301_Semester_2_2024_A3,SOFT301_Semester_2_2024,SOFT301,Assignment 3: Research Paper,Project,Complete the research paper as per course requirements.,20,20,2024-10-14 00:00:00,Online text,True,20
SOFT301_Semester_2_2024_A4,SOFT301_Semester_2_2024,SOFT301,Assignment 4: Project,Presentation,Complete the tutorial exercise as per course requirements.,20,30,2024-08-16 00:00:00,Online text,True,15
SOFT301_Summer_2024/25_A1,SOFT301_Summer_2024/25,SOFT301,Assignment 1: Project,Essay,Complete the project as per course requirements.,20,25,2025-02-14 00:00:00,Online text,False,5
SOFT301_Summer_2024/25_A2,SOFT301_Summer_2024/25,SOFT301,Assignment 2: Programming Assignment,Report,Complete the lab exercise as per course requirements.,20,20,2025-01-03 00:00:00,Both,False,10
SOFT301_Summer_2024/25_A3,SOFT301_Summer_2024/25,SOFT301,Assignment 3: Case Study,Essay,Complete the programming assignment as per course requirements.,40,20,2025-01-18 00:00:00,Online text,True,0
SOFT301_Summer_2024/25_A4,SOFT301_Summer_2024/25,SOFT301,Assignment 4: Research Paper,Research Paper,Complete the group project as per course requirements.,100,15,2025-02-07 00:00:00,Both,False,0
