assignment_id,course_id,course_code,title,assignment_type,description,max_marks,weight,due_date,submission_type,allow_late,late_penalty
SOFT301_Summer_2024/25_A5,SOFT301_Summer_2024/25,SOFT301,Assignment 5: Essay,Group Project,Complete the tutorial exercise as per course requirements.,25,10,2025-02-03 00:00:00,Both,True,0
SOFT301_Summer_2024/25_A6,SOFT301_Summer_2024/25,SOFT301,Assignment 6: Essay,Case Study,Complete the research paper as per course requirements.,25,25,2025-01-25 00:00:00,Online text,True,20
CLOUD401_Semester_1_2024_A1,CLOUD401_Semester_1_2024,CLOUD401,Assignment 1: Essay,Research Paper,Complete the case study as per course requirements.,100,25,2024-05-16 00:00:00,Both,True,0
CLOUD401_Semester_1_2024_A2,CLOUD401_Semester_1_2024,CLOUD401,Assignment 2: Project,Lab Exercise,Complete the group project as per course requirements.,25,30,2024-06-14 00:00:00,Online text,True,0
CLOUD401_Semester_1_2024_A3,CLOUD401_Semester_1_2024,CLOUD401,Assignment 3: Tutorial Exercise,Essay,Complete the presentation as per course requirements.,30,10,2024-04-04 00:00:00,Online text,False,5
CLOUD401_Semester_1_2024_A4,CLOUD401_Semester_1_2024,CLOUD401,Assignment 4: Research Paper,Research Paper,Complete the lab exercise as per course requirements.,40,20,2024-06-08 00:00:00,Online text,False,15
CLOUD401_Semester_1_2024_A5,CLOUD401_Semester_1_2024,CLOUD401,Assignment 5: Case Study,Research Paper,Complete the lab exercise as per course requirements.,30,15,2024-03-25 00:00:00,Both,True,20
CLOUD401_Semester_2_2024_A1,CLOUD401_Semester_2_2024,CLOUD401,Assignment 1: Lab Exercise,Report,Complete the tutorial exercise as per course requirements.,20,10,2024-10-21 00:00:00,File upload,True,20
CLOUD401_Semester_2_2024_A2,CLOUD401_Semester_2_2024,CLOUD401,Assignment 2: Research Paper,Tutorial Exercise,Complete the group project as per course requirements.,20,25,2024-08-11 00:00:00,Both,True,20
CLOUD401_Semester_2_2024_A3,CLOUD401_Semester_2_2024,CLOUD401,Assignment 3: Project,Research Paper,Complete the group project as per course requirements.,40,10,2024-08-25 00:00:00,File upload,False,15
CLOUD401_Semester_2_2024_A4,CLOUD401_Semester_2_2024,CLOUD401,Assignment 4: Research Paper,Lab Exercise,Complete the lab exercise as per course requirements.,20,20,2024-11-07 00:00:00,File upload,False,0
CLOUD401_Semester_2_2024_A5,CLOUD401_Semester_2_2024,CLOUD401,Assignment 5: Report,Report,Complete the lab exercise as per course requirements.,100,15,2024-10-21 00:00:00,File upload,False,0
CLOUD401_Summer_2024/25_A1,CLOUD401_Summer_2024/25,CLOUD401,Assignment 1: Presentation,Group Project,Complete the tutorial exercise as per course requirements.,30,20,2025-01-04 00:00:00,File upload,False,0
CLOUD401_Summer_2024/25_A2,CLOUD401_Summer_2024/25,CLOUD401,Assignment 2: Project,Tutorial Exercise,Complete the lab exercise as per course requirements.,20,30,2025-02-04 00:00:00,Online text,True,20
CLOUD401_Summer_2024/25_A3,CLOUD401_Summer_2024/25,CLOUD401,Assignment 3: Lab Exercise,Presentation,Complete the group project as per course requirements.,25,25,2025-01-07 00:00:00,File upload,True,10
BUS101_Semester_1_2024_A1,BUS101_Semester_1_2024,BUS101,Assignment 1: Tutorial Exercise,Lab Exercise,Complete the report as per course requirements.,50,15,2024-05-30 00:00:00,Online text,True,0
BUS101_Semester_1_2024_A2,BUS101_Semester_1_2024,BUS101,Assignment 2: Lab Exercise,Essay,Complete the tutorial exercise as per course requirements.,25,10,2024-03-14 00:00:00,Both,True,5
BUS101_Semester_1_2024_A3,BUS101_Semester_1_2024,BUS101,Assignment 3: Case Study,Research Paper,Complete the presentation as per course requirements.,25,15,2024-06-14 00:00:00,Both,True,0
BUS101_Semester_2_2024_A1,BUS101_Semester_2_2024,BUS101,Assignment 1: Lab Exercise,Report,Complete the essay as per course requirements.,30,10,2024-10-29 00:00:00,File upload,True,5
BUS101_Semester_2_2024_A2,BUS101_Semester_2_2024,BUS101,Assignment 2: Research Paper,Tutorial Exercise,Complete the programming assignment as per course requirements.,20,15,2024-08-12 00:00:00,Online text,False,5
BUS101_Semester_2_2024_A3,BUS101_Semester_2_2024,BUS101,Assignment 3: Research Paper,Presentation,Complete the project as per course requirements.,40,10,2024-08-07 00:00:00,Online text,True,0
BUS101_Semester_2_2024_A4,BUS101_Semester_2_2024,BUS101,Assignment 4: Programming Assignment,Project,Complete the lab exercise as per course requirements.,40,20,2024-09-29 00:00:00,Both,False,10
BUS101_Summer_2024/25_A1,BUS101_Summer_2024/25,BUS101,Assignment 1: Case Study,Tutorial Exercise,Complete the tutorial exercise as per course requirements.,20,10,2024-12-17 00:00:00,Online text,False,0
BUS101_Summer_2024/25_A2,BUS101_Summer_2024/25,BUS101,Assignment 2: Case Study,Group Project,Complete the report as per course requirements.,20,15,2024-12-16 00:00:00,Both,True,10
BUS101_Summer_2024/25_A3,BUS101_Summer_2024/25,BUS101,Assignment 3: Presentation,Programming Assignment,Complete the project as per course requirements.,20,20,2025-01-12 00:00:00,File upload,True,0
BUS101_Summer_2024/25_A4,BUS101_Summer_2024/25,BUS101,Assignment 4: Report,Report,Complete the research paper as per course requirements.,25,10,2025-01-01 00:00:00,Online text,False,0
BUS101_Summer_2024/25_A5,BUS101_Summer_2024/25,BUS101,Assignment 5: Lab Exercise,Group Project,Complete the lab exercise as per course requirements.,25,20,2025-02-17 00:00:00,File upload,True,15
ACC201_Semester_1_2024_A1,ACC201_Semester_1_2024,ACC201,Assignment 1: Tutorial Exercise,Tutorial Exercise,Complete the report as per course requirements.,25,15,2024-03-24 00:00:00,Both,False,0
ACC201_Semester_1_2024_A2,ACC201_Semester_1_2024,ACC201,Assignment 2: Lab Exercise,Tutorial Exercise,Complete the report as per course requirements.,30,30,2024-05-07 00:00:00,File upload,False,0
ACC201_Semester_1_2024_A3,ACC201_Semester_1_2024,ACC201,Assignment 3: Presentation,Presentation,Complete the programming assignment as per course requirements.,40,15,2024-05-22 00:00:00,File upload,False,15
ACC201_Semester_1_2024_A4,ACC201_Semester_1_2024,ACC201,Assignment 4: Group Project,Presentation,Complete the lab exercise as per course requirements.,20,10,2024-05-27 00:00:00,File upload,False,0
ACC201_Semester_1_2024_A5,ACC201_Semester_1_2024,ACC201,Assignment 5: Presentation,Project,Complete the programming assignment as per course requirements.,25,20,2024-04-03 00:00:00,Online text,True,5
ACC201_Semester_1_2024_A6,ACC201_Semester_1_2024,ACC201,Assignment 6: Presentation,Essay,Complete the presentation as per course requirements.,25,25,2024-03-12 00:00:00,Both,False,5
ACC201_Semester_2_2024_A1,ACC201_Semester_2_2024,ACC201,Assignment 1: Tutorial Exercise,Project,Complete the group project as per course requirements.,25,10,2024-09-03 00:00:00,Both,False,5
ACC201_Semester_2_2024_A2,ACC201_Semester_2_2024,ACC201,Assignment 2: Lab Exercise,Lab Exercise,Complete the presentation as per course requirements.,30,15,2024-10-10 00:00:00,File upload,True,20
ACC201_Semester_2_2024_A3,ACC201_Semester_2_2024,ACC201,Assignment 3: Report,Lab Exercise,Complete the programming assignment as per course requirements.,20,25,2024-08-03 00:00:00,File upload,False,10
ACC201_Semester_2_2024_A4,ACC201_Semester_2_2024,ACC201,Assignment 4: Essay,Report,Complete the essay as per course requirements.,100,30,2024-10-10 00:00:00,File upload,False,0
ACC201_Semester_2_2024_A5,ACC201_Semester_2_2024,ACC201,Assignment 5: Essay,Group Project,Complete the group project as per course requirements.,20,20,2024-09-18 00:00:00,Both,True,0
ACC201_Semester_2_2024_A6,ACC201_Semester_2_2024,ACC201,Assignment 6: Lab Exercise,Report,Complete the report as per course requirements.,30,20,2024-08-10 00:00:00,Online text,True,15
ACC201_Summer_2024/25_A1,ACC201_Summer_2024/25,ACC201,Assignment 1: Lab Exercise,Report,Complete the research paper as per course requirements.,40,10,2024-12-22 00:00:00,Online text,True,0
ACC201_Summer_2024/25_A2,ACC201_Summer_2024/25,ACC201,Assignment 2: Essay,Case Study,Complete the programming assignment as per course requirements.,30,25,2024-12-22 00:00:00,File upload,True,0
ACC201_Summer_2024/25_A3,ACC201_Summer_2024/25,ACC201,Assignment 3: Group Project,Essay,Complete the essay as per course requirements.,30,10,2025-02-01 00:00:00,File upload,True,5
ACC201_Summer_2024/25_A4,ACC201_Summer_2024/25,ACC201,Assignment 4: Presentation,Tutorial Exercise,Complete the lab exercise as per course requirements.,30,15,2025-01-18 00:00:00,File upload,False,0
ACC201_Summer_2024/25_A5,ACC201_Summer_2024/25,ACC201,Assignment 5: Case Study,Tutorial Exercise,Complete the lab exercise as per course requirements.,100,25,2025-01-25 00:00:00,Both,True,10
ACC201_Summer_2024/25_A6,ACC201_Summer_2024/25,ACC201,Assignment 6: Research Paper,Report,Complete the presentation as per course requirements.,100,25,2025-02-15 00:00:00,File upload,True,0
MKT201_Semester_1_2024_A1,MKT201_Semester_1_2024,MKT201,Assignment 1: Programming Assignment,Presentation,Complete the group project as per course requirements.,25,15,2024-06-10 00:00:00,Both,True,0
MKT201_Semester_1_2024_A2,MKT201_Semester_1_2024,MKT201,Assignment 2: Essay,Project,Complete the essay as per course requirements.,100,15,2024-05-13 00:00:00,Online text,False,0
MKT201_Semester_1_2024_A3,MKT201_Semester_1_2024,MKT201,Assignment 3: Presentation,Project,Complete the tutorial exercise as per course requirements.,50,30,2024-03-24 00:00:00,Online text,False,10
MKT201_Semester_1_2024_A4,MKT201_Semester_1_2024,MKT201,Assignment 4: Programming Assignment,Case Study,Complete the project as per course requirements.,30,25,2024-05-14 00:00:00,Online text,True,10
MKT201_Semester_1_2024_A5,MKT201_Semester_1_2024,MKT201,Assignment 5: Report,Lab Exercise,Complete the case study as per course requirements.,100,20,2024-03-19 00:00:00,Both,True,0
MKT201_Semester_2_2024_A1,MKT201_Semester_2_2024,MKT201,Assignment 1: Programming Assignment,Project,Complete the essay as per course requirements.,40,15,2024-11-01 00:00:00,Online text,True,0
MKT201_Semester_2_2024_A2,MKT201_Semester_2_2024,MKT201,Assignment 2: Research Paper,Presentation,Complete the report as per course requirements.,20,30,2024-10-04 00:00:00,File upload,False,0
MKT201_Semester_2_2024_A3,MKT201_Semester_2_2024,MKT201,Assignment 3: Lab Exercise,Group Project,Complete the lab exercise as per course requirements.,50,20,2024-08-17 00:00:00,File upload,False,0
MKT201_Summer_2024/25_A1,MKT201_Summer_2024/25,MKT201,Assignment 1: Lab Exercise,Lab Exercise,Complete the project as per course requirements.,30,15,2024-12-22 00:00:00,Online text,True,20
MKT201_Summer_2024/25_A2,MKT201_Summer_2024/25,MKT201,Assignment 2: Lab Exercise,Programming Assignment,Complete the essay as per course requirements.,100,15,2025-02-20 00:00:00,File upload,True,0
MKT201_Summer_2024/25_A3,MKT201_Summer_2024/25,MKT201,Assignment 3: Tutorial Exercise,Report,Complete the project as per course requirements.,20,30,2024-12-20 00:00:00,File upload,False,0
MGT301_Semester_1_2024_A1,MGT301_Semester_1_2024,MGT301,Assignment 1: Lab Exercise,Programming Assignment,Complete the project as per course requirements.,100,20,2024-04-30 00:00:00,Online text,True,0
MGT301_Semester_1_2024_A2,MGT301_Semester_1_2024,MGT301,Assignment 2: Presentation,Report,Complete the tutorial exercise as per course requirements.,30,10,2024-04-06 00:00:00,File upload,True,20
MGT301_Semester_1_2024_A3,MGT301_Semester_1_2024,MGT301,Assignment 3: Report,Project,Complete the case study as per course requirements.,30,10,2024-06-13 00:00:00,File upload,True,0
MGT301_Semester_1_2024_A4,MGT301_Semester_1_2024,MGT301,Assignment 4: Case Study,Essay,Complete the research paper as per course requirements.,40,20,2024-05-08 00:00:00,File upload,True,5
MGT301_Semester_1_2024_A5,MGT301_Semester_1_2024,MGT301,Assignment 5: Essay,Tutorial Exercise,Complete the presentation as per course requirements.,40,30,2024-04-01 00:00:00,File upload,False,20
MGT301_Semester_1_2024_A6,MGT301_Semester_1_2024,MGT301,Assignment 6: Essay,Essay,Complete the tutorial exercise as per course requirements.,100,20,2024-03-25 00:00:00,File upload,True,5
MGT301_Semester_2_2024_A1,MGT301_Semester_2_2024,MGT301,Assignment 1: Presentation,Research Paper,Complete the research paper as per course requirements.,100,20,2024-09-05 00:00:00,Both,False,15
MGT301_Semester_2_2024_A2,MGT301_Semester_2_2024,MGT301,Assignment 2: Research Paper,Essay,Complete the presentation as per course requirements.,30,20,2024-09-13 00:00:00,Both,False,0
MGT301_Semester_2_2024_A3,MGT301_Semester_2_2024,MGT301,Assignment 3: Group Project,Essay,Complete the case study as per course requirements.,40,15,2024-10-24 00:00:00,Both,True,0
MGT301_Summer_2024/25_A1,MGT301_Summer_2024/25,MGT301,Assignment 1: Tutorial Exercise,Lab Exercise,Complete the presentation as per course requirements.,25,10,2025-01-16 00:00:00,File upload,False,15
MGT301_Summer_2024/25_A2,MGT301_Summer_2024/25,MGT301,Assignment 2: Group Project,Case Study,Complete the report as per course requirements.,100,20,2025-02-11 00:00:00,Online text,False,15
MGT301_Summer_2024/25_A3,MGT301_Summer_2024/25,MGT301,Assignment 3: Project,Essay,Complete the tutorial exercise as per course requirements.,50,20,2025-01-24 00:00:00,Both,True,0
FIN301_Semester_1_2024_A1,FIN301_Semester_1_2024,FIN301,Assignment 1: Presentation,Report,Complete the programming assignment as per course requirements.,20,25,2024-05-22 00:00:00,Both,True,0
FIN301_Semester_1_2024_A2,FIN301_Semester_1_2024,FIN301,Assignment 2: Group Project,Report,Complete the tutorial exercise as per course requirements.,50,15,2024-03-30 00:00:00,Online text,False,0
FIN301_Semester_1_2024_A3,FIN301_Semester_1_2024,FIN301,Assignment 3: Essay,Research Paper,Complete the essay as per course requirements.,25,20,2024-04-17 00:00:00,Both,True,0
FIN301_Semester_1_2024_A4,FIN301_Semester_1_2024,FIN301,Assignment 4: Essay,Lab Exercise,Complete the presentation as per course requirements.,100,10,2024-04-19 00:00:00,File upload,False,0
FIN301_Semester_1_2024_A5,FIN301_Semester_1_2024,FIN301,Assignment 5: Group Project,Group Project,Complete the case study as per course requirements.,20,20,2024-04-16 00:00:00,File upload,True,0
FIN301_Semester_1_2024_A6,FIN301_Semester_1_2024,FIN301,Assignment 6: Report,Project,Complete the essay as per course requirements.,40,20,2024-03-21 00:00:00,File upload,False,0
FIN301_Semester_2_2024_A1,FIN301_Semester_2_2024,FIN301,Assignment 1: Report,Tutorial Exercise,Complete the report as per course requirements.,25,30,2024-08-31 00:00:00,Online text,False,10
FIN301_Semester_2_2024_A2,FIN301_Semester_2_2024,FIN301,Assignment 2: Project,Report,Complete the case study as per course requirements.,40,30,2024-10-24 00:00:00,File upload,False,0
FIN301_Semester_2_2024_A3,FIN301_Semester_2_2024,FIN301,Assignment 3: Tutorial Exercise,Research Paper,Complete the group project as per course requirements.,25,25,2024-09-05 00:00:00,Online text,True,0
FIN301_Summer_2024/25_A1,FIN301_Summer_2024/25,FIN301,Assignment 1: Group Project,Presentation,Complete the research paper as per course requirements.,30,25,2025-01-25 00:00:00,Online text,False,20
FIN301_Summer_2024/25_A2,FIN301_Summer_2024/25,FIN301,Assignment 2: Group Project,Essay,Complete the lab exercise as per course requirements.,20,15,2024-12-19 00:00:00,Both,False,15
FIN301_Summer_2024/25_A3,FIN301_Summer_2024/25,FIN301,Assignment 3: Tutorial Exercise,Group Project,Complete the tutorial exercise as per course requirements.,30,10,2025-01-01 00:00:00,Online text,True,0
FIN301_Summer_2024/25_A4,FIN301_Summer_2024/25,FIN301,Assignment 4: Research Paper,Group Project,Complete the research paper as per course requirements.,20,10,2024-12-16 00:00:00,File upload,False,5
FIN301_Summer_2024/25_A5,FIN301_Summer_2024/25,FIN301,Assignment 5: Tutorial Exercise,Programming Assignment,Complete the report as per course requirements.,50,25,2025-01-27 00:00:00,Both,False,5
FIN301_Summer_2024/25_A6,FIN301_Summer_2024/25,FIN301,Assignment 6: Essay,Project,Complete the group project as per course requirements.,25,30,2025-02-19 00:00:00,Both,False,0
MATH101_Semester_1_2024_A1,MATH101_Semester_1_2024,MATH101,Assignment 1: Report,Essay,Complete the research paper as per course requirements.,50,15,2024-04-18 00:00:00,File upload,True,0
MATH101_Semester_1_2024_A2,MATH101_Semester_1_2024,MATH101,Assignment 2: Programming Assignment,Group Project,Complete the programming assignment as per course requirements.,25,15,2024-05-27 00:00:00,File upload,False,0
MATH101_Semester_1_2024_A3,MATH101_Semester_1_2024,MATH101,Assignment 3: Research Paper,Lab Exercise,Complete the essay as per course requirements.,20,20,2024-05-14 00:00:00,Online text,False,10
MATH101_Semester_1_2024_A4,MATH101_Semester_1_2024,MATH101,Assignment 4: Report,Tutorial Exercise,Complete the research paper as per course requirements.,100,30,2024-05-19 00:00:00,File upload,False,0
MATH101_Semester_2_2024_A1,MATH101_Semester_2_2024,MATH101,Assignment 1: Case Study,Project,Complete the case study as per course requirements.,50,30,2024-08-21 00:00:00,File upload,False,0
MATH101_Semester_2_2024_A2,MATH101_Semester_2_2024,MATH101,Assignment 2: Programming Assignment,Tutorial Exercise,Complete the research paper as per course requirements.,30,20,2024-09-04 00:00:00,Online text,False,5
MATH101_Semester_2_2024_A3,MATH101_Semester_2_2024,MATH101,Assignment 3: Lab Exercise,Lab Exercise,Complete the case study as per course requirements.,20,20,2024-09-26 00:00:00,Online text,True,5
MATH101_Summer_2024/25_A1,MATH101_Summer_2024/25,MATH101,Assignment 1: Tutorial Exercise,Research Paper,Complete the essay as per course requirements.,30,15,2024-12-20 00:00:00,Online text,False,0
MATH101_Summer_2024/25_A2,MATH101_Summer_2024/25,MATH101,Assignment 2: Presentation,Group Project,Complete the group project as per course requirements.,25,20,2025-01-05 00:00:00,Both,False,10
MATH101_Summer_2024/25_A3,MATH101_Summer_2024/25,MATH101,Assignment 3: Presentation,Tutorial Exercise,Complete the presentation as per course requirements.,40,15,2025-01-04 00:00:00,Online text,False,5
MATH101_Summer_2024/25_A4,MATH101_Summer_2024/25,MATH101,Assignment 4: Lab Exercise,Research Paper,Complete the tutorial exercise as per course requirements.,100,15,2025-02-15 00:00:00,Both,False,0
MATH101_Summer_2024/25_A5,MATH101_Summer_2024/25,MATH101,Assignment 5: Tutorial Exercise,Tutorial Exercise,Complete the presentation as per course requirements.,50,30,2025-01-26 00:00:00,Online text,True,0
STAT201_Semester_1_2024_A1,STAT201_Semester_1_2024,STAT201,Assignment 1: Programming Assignment,Programming Assignment,Complete the research paper as per course requirements.,100,25,2024-04-09 00:00:00,Online text,True,10
STAT201_Semester_1_2024_A2,STAT201_Semester_1_2024,STAT201,Assignment 2: Case Study,Lab Exercise,Complete the lab exercise as per course requirements.,20,10,2024-03-24 00:00:00,Both,False,0
STAT201_Semester_1_2024_A3,STAT201_Semester_1_2024,STAT201,Assignment 3: Programming Assignment,Research Paper,Complete the presentation as per course requirements.,50,10,2024-06-14 00:00:00,File upload,False,0
STAT201_Semester_1_2024_A4,STAT201_Semester_1_2024,STAT201,Assignment 4: Lab Exercise,Case Study,Complete the tutorial exercise as per course requirements.,50,15,2024-05-07 00:00:00,File upload,False,0
STAT201_Semester_2_2024_A1,STAT201_Semester_2_2024,STAT201,Assignment 1: Project,Case Study,Complete the lab exercise as per course requirements.,50,15,2024-08-26 00:00:00,File upload,True,5
STAT201_Semester_2_2024_A2,STAT201_Semester_2_2024,STAT201,Assignment 2: Essay,Case Study,Complete the essay as per course requirements.,30,25,2024-08-24 00:00:00,Both,True,0
STAT201_Semester_2_2024_A3,STAT201_Semester_2_2024,STAT201,Assignment 3: Group Project,Research Paper,Complete the project as per course requirements.,25,30,2024-10-24 00:00:00,Online text,False,0
STAT201_Semester_2_2024_A4,STAT201_Semester_2_2024,STAT201,Assignment 4: Case Study,Programming Assignment,Complete the research paper as per course requirements.,40,25,2024-10-08 00:00:00,File upload,True,0
STAT201_Semester_2_2024_A5,STAT201_Semester_2_2024,STAT201,Assignment 5: Report,Programming Assignment,Complete the programming assignment as per course requirements.,40,15,2024-10-03 00:00:00,File upload,False,0
STAT201_Summer_2024/25_A1,STAT201_Summer_2024/25,STAT201,Assignment 1: Lab Exercise,Presentation,Complete the programming assignment as per course requirements.,25,20,2025-01-17 00:00:00,File upload,True,15
STAT201_Summer_2024/25_A2,STAT201_Summer_2024/25,STAT201,Assignment 2: Tutorial Exercise,Essay,Complete the group project as per course requirements.,100,10,2025-02-05 00:00:00,Both,False,15
STAT201_Summer_2024/25_A3,STAT201_Summer_2024/25,STAT201,Assignment 3: Essay,Presentation,Complete the lab exercise as per course requirements.,30,15,2024-12-19 00:00:00,Online text,True,0
STAT201_Summer_2024/25_A4,STAT201_Summer_2024/25,STAT201,Assignment 4: Essay,Project,Complete the research paper as per course requirements.,20,30,2025-01-27 00:00:00,Both,True,0
STAT201_Summer_2024/25_A5,STAT201_Summer_2024/25,STAT201,Assignment 5: Lab Exercise,Tutorial Exercise,Complete the tutorial exercise as per course requirements.,20,30,2024-12-25 00:00:00,Online text,True,0
COMM101_Semester_1_2024_A1,COMM101_Semester_1_2024,COMM101,Assignment 1: Essay,Research Paper,Complete the group project as per course requirements.,25,20,2024-03-24 00:00:00,Online text,False,0
COMM101_Semester_1_2024_A2,COMM101_Semester_1_2024,COMM101,Assignment 2: Essay,Essay,Complete the essay as per course requirements.,25,30,2024-04-09 00:00:00,Both,False,5
COMM101_Semester_1_2024_A3,COMM101_Semester_1_2024,COMM101,Assignment 3: Research Paper,Essay,Complete the lab exercise as per course requirements.,40,15,2024-05-20 00:00:00,Online text,False,5
COMM101_Semester_2_2024_A1,COMM101_Semester_2_2024,COMM101,Assignment 1: Tutorial Exercise,Presentation,Complete the presentation as per course requirements.,25,20,2024-08-13 00:00:00,Online text,True,0
COMM101_Semester_2_2024_A2,COMM101_Semester_2_2024,COMM101,Assignment 2: Tutorial Exercise,Essay,Complete the project as per course requirements.,40,30,2024-08-09 00:00:00,Both,True,5
COMM101_Semester_2_2024_A3,COMM101_Semester_2_2024,COMM101,Assignment 3: Project,Essay,Complete the programming assignment as per course requirements.,20,15,2024-10-29 00:00:00,Online text,True,0
COMM101_Semester_2_2024_A4,COMM101_Semester_2_2024,COMM101,Assignment 4: Presentation,Tutorial Exercise,Complete the project as per course requirements.,30,15,2024-09-07 00:00:00,Both,False,0
COMM101_Semester_2_2024_A5,COMM101_Semester_2_2024,COMM101,Assignment 5: Programming Assignment,Programming Assignment,Complete the report as per course requirements.,50,15,2024-08-13 00:00:00,Online text,False,10
COMM101_Semester_2_2024_A6,COMM101_Semester_2_2024,COMM101,Assignment 6: Report,Presentation,Complete the group project as per course requirements.,30,15,2024-09-23 00:00:00,Both,False,0
COMM101_Summer_2024/25_A1,COMM101_Summer_2024/25,COMM101,Assignment 1: Presentation,Lab Exercise,Complete the tutorial exercise as per course requirements.,40,20,2024-12-22 00:00:00,File upload,True,10
COMM101_Summer_2024/25_A2,COMM101_Summer_2024/25,COMM101,Assignment 2: Group Project,Project,Complete the programming assignment as per course requirements.,30,15,2025-01-24 00:00:00,File upload,True,20
COMM101_Summer_2024/25_A3,COMM101_Summer_2024/25,COMM101,Assignment 3: Essay,Research Paper,Complete the essay as per course requirements.,30,20,2024-12-30 00:00:00,Both,False,0
